fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	use_quantized_grad	quant_train_renew_leaf	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_grad_quant_bins	estimulos	ganancia	iteracion_bayesiana
20241012 141525	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2597	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0785398252094825	0.288385410220168	1868	8182	7	10933	136764632.183908	1
20241012 141727	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1878	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.04598292827151	0.345075508573955	2045	4830	4	11901	136747812.593703	2
20241012 141832	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1037	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0759218078255039	0.250444509812505	2433	4382	7	10771	134904829.085457	3
20241012 141903	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	299	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0890406424376307	0.598743675130812	2262	1687	6	11140	135467176.411794	4
20241012 142124	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2275	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0429445739212612	0.443376575952239	1181	6772	5	12143	135741848.575712	5
20241012 142224	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	805	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0574372755035184	0.517290890298669	4087	6893	4	12621	135146453.273363	6
20241012 142340	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1526	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0806692523367713	0.816485695189104	2882	8305	3	11597	135807566.716642	7
20241012 142517	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1283	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0399749778990623	0.554029149167022	3290	5470	7	10671	135871955.522239	8
20241012 142647	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1307	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0338489160185155	0.857839844668211	3892	3837	5	13439	136282762.118941	9
20241012 142800	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	849	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0647348136466093	0.484826838833741	2734	2953	3	11882	135567849.075462	10
20241012 143009	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2417	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0946857579272794	0.879914805787215	807	7590	5	12469	136730293.353323	11
20241012 143236	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2444	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0707638851187397	0.214583713548121	1282	6234	5	12149	136792422.288856	12
20241012 143515	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3168	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0545611922388729	0.939161145889787	1735	9486	6	11779	135807069.965017	13
20241012 143657	569	41985	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1669	1	1	1	FALSE	1	0.1	50	0.5	TRUE	TRUE	TRUE	799991	0.0224775671948059	0.128854781813406	2578	2692	3	10449	134380378.310845	14
