Feature	Gain	Cover	Frequency
ctrx_quarter	0.0239474772347644	0.00337180808276642	0.00148035359302965
ctrx_quarter_normalizado	0.0205856660730368	0.00305377081594492	0.00158609313538891
mcaja_ahorro	0.0195747714569219	0.00416323720979058	0.00257299553074201
ctrx_quarter_lag1	0.014892080381068	0.00273792963323867	0.00158961778680089
mpayroll	0.013010295395347	0.00385659669498031	0.000852965641698036
cmobile_app_trx	0.011295174719962	0.00685618916081777	0.0201786293335589
cmobile_app_trx_lag1	0.0111680881052908	0.00693463838754288	0.0203478126013337
ctrx_quarter_normalizado_lag1	0.0107693667491863	0.0027768202397851	0.00187511455117089
mcuentas_saldo	0.0103744361384834	0.00605556183896532	0.00360924304586276
mpayroll_sobre_edad	0.0102707511402875	0.00456782870712526	0.000898786110053716
active_quarter	0.00999086215574646	0.00239961948908624	0.00325677790466523
thomebanking	0.00946356905044397	0.00577527794802143	0.0143664791552116
thomebanking_lag1	0.00910086364402778	0.00560616215967441	0.015163050374318
mcuenta_corriente	0.00879931414410939	0.00567810094056829	0.0052059101354876
Master_fechaalta_lag1	0.00844364781456044	0.00677102726741817	0.011300032426793
Master_Fvencimiento_lag1	0.00833666669695119	0.0071508046693037	0.0111026519477224
Visa_msaldopesos	0.00832676753395032	0.00270926953704819	0.00342596117244005
mcaja_ahorro_lag1	0.00830397939777616	0.00397462651413941	0.0027598020555767
vmr_msaldopesos2_delta1	0.00809118618254169	0.00668905363387039	0.0117617617617618
mpasivos_margen	0.00799364519017959	0.00409467473701149	0.00306997137983053
Master_Fvencimiento	0.00794434310543	0.00620508427289024	0.0105915774929859
Master_fechaalta	0.00793743846125599	0.00574314699643573	0.0106867430811093
active_quarter_lag1	0.00784901981940062	0.00178607317539616	0.00261176669627374
mrentabilidad_annual_delta1	0.00747984122601021	0.00786474440522327	0.00720086283466565
mrentabilidad_annual_lag1	0.00747144777679057	0.00882015780024046	0.00557247388233304
mrentabilidad_annual	0.00697229823098512	0.00618216559359511	0.00533984688914266
Visa_Fvencimiento_lag1	0.00696917192517855	0.0053352858182512	0.00777538101481764
Visa_mpagospesos_delta1	0.00684036121494922	0.00563581462183744	0.00984082674223519
vmr_msaldopesos2	0.0066869751782869	0.00548666115058936	0.00906187878018864
mactivos_margen_delta1	0.00664865013724666	0.00869909818779816	0.00555837527668514
Visa_Fvencimiento	0.00626994512979633	0.00589946637157282	0.00752865541597936
mpayroll_sobre_edad_lag1	0.00616668902478426	0.00306994943458493	0.000944606578409395
numero_de_cliente	0.00602737859234758	0.00665439482662606	0.00731717633126084
Visa_fechaalta_lag1	0.0059676815952845	0.00479082569698412	0.00725725725725726
mcomisiones	0.00589089932362033	0.00432140320555367	0.00710217259513034
Visa_fechaalta	0.00583502983694111	0.00543873680821651	0.00737709540526442
vmr_msaldopesos2_lag1	0.00573005353078035	0.00484177536209472	0.00834284989214567
Visa_mpagospesos_lag1	0.00555865299175534	0.00442824591274789	0.00781767683176134
mcomisiones_otras	0.00555684490322872	0.00491939639649519	0.00698938374994713
tcallcenter	0.00524526793269962	0.00369164098697216	0.00338719000690832
Visa_mconsumospesos_lag1	0.0051743638854998	0.00412551113277562	0.00725725725725726
vm_fechaalta	0.00516408300339502	0.00505615456709025	0.00635847114720354
vm_fechaalta_lag1	0.00516049661841955	0.00448476074112141	0.00612584415401317
cliente_edad_lag1	0.00511703331830566	0.00609090064470843	0.00560067109362884
Visa_mconsumototal_lag1	0.00509299116024241	0.00388095241684357	0.00726078190866923
mcomisiones_otras_lag1	0.00506914353687366	0.00431486260732013	0.00615756601672095
Visa_mconsumospesos	0.00506823390431316	0.00396854048477224	0.00754275402162726
cliente_edad	0.0050569672772599	0.00572728816447259	0.00575928040716773
vm_Fvencimiento_lag1	0.00494434634021318	0.00442428443876871	0.00637961905567539
mpayroll_lag1	0.00494109092535745	0.00279925172474385	0.000852965641698036
Visa_mconsumototal	0.00491705025877556	0.00380985590573661	0.00704225352112676
Visa_msaldototal	0.00488356005721825	0.00232406413203896	0.00346473233797177
vm_Fvencimiento	0.00486930602935122	0.00469044644733488	0.00614699206248502
mcuenta_corriente_lag1	0.00486066612928677	0.00580674288345264	0.00461729334968772
mcomisiones_lag1	0.0048578186206995	0.0042089972374563	0.00577690366422761
Visa_mpagospesos	0.00479705460377038	0.0038658422585668	0.00680257722511244
mrentabilidad	0.00477774836948108	0.00464531115461669	0.00451860311015241
Visa_mpagominimo_lag1	0.00474722066658549	0.00435989469702095	0.00556894923092106
